Samurai,Mina Velkh,3799.21,2043198,581,Yes,KGqYN6RBbaHrz3pP
Warrior,Octavia Hardwoode,2360.31,1269362,581,Yes,KGqYN6RBbaHrz3pP
RedMage,Dionisio Parizzi,2046.48,1100586,581,Yes,KGqYN6RBbaHrz3pP
Summoner,Rylai Cressfall,1963.38,1055896,581,Yes,KGqYN6RBbaHrz3pP
RedMage,Catstab Mcdoggypunch,1761.75,947461,581,Yes,KGqYN6RBbaHrz3pP
Ninja,Lord Sithari,1703.34,916050,581,Yes,KGqYN6RBbaHrz3pP
Monk,Neela Mitz'paw,1655.43,890284,581,Yes,KGqYN6RBbaHrz3pP
Machinist,Majin Buub,1597.54,859150,581,Yes,KGqYN6RBbaHrz3pP
Machinist,Orne Skull,1476.06,793818,581,Yes,KGqYN6RBbaHrz3pP
Paladin,Margulis Nakata,1453.36,781611,581,Yes,KGqYN6RBbaHrz3pP
Samurai,Emet- Sulk,1406.79,756567,581,Yes,KGqYN6RBbaHrz3pP
RedMage,Winter Sphere,1258.6,676871,581,Yes,KGqYN6RBbaHrz3pP
RedMage,Claimh Solais,1251.45,673023,581,Yes,KGqYN6RBbaHrz3pP
Samurai,G'raha Blast,1250.91,672731,581,Yes,KGqYN6RBbaHrz3pP
Dancer,Xayah Fenice,1159.38,623511,581,Yes,KGqYN6RBbaHrz3pP
Summoner,Kharnzarro Muffington,1087.35,584769,581,Yes,KGqYN6RBbaHrz3pP
Warrior,Ba Dad,1081.34,581541,581,Yes,KGqYN6RBbaHrz3pP
Warrior,Altani Starshaper,1080,580819,581,Yes,KGqYN6RBbaHrz3pP
Machinist,Bakuretsu Onna,1025.72,551625,581,Yes,KGqYN6RBbaHrz3pP
WhiteMage,Masane Mayushi,870.809,468317,581,Yes,KGqYN6RBbaHrz3pP
RedMage,Kira Saeki,862.297,463739,581,Yes,KGqYN6RBbaHrz3pP
RedMage,D'helta Enaro,861.691,463413,581,Yes,KGqYN6RBbaHrz3pP
Gunbreaker,Naser Alcarin,848.606,456376,581,Yes,KGqYN6RBbaHrz3pP
Bard,Clair Nakiri,761.418,409487,581,Yes,KGqYN6RBbaHrz3pP
Dragoon,Kalladin Stormbless,752.472,404676,581,Yes,KGqYN6RBbaHrz3pP
Paladin,Rhal'a Lhseva,751.139,403959,581,Yes,KGqYN6RBbaHrz3pP
Astrologian,Kiyomi Kirei,717.123,385665,581,Yes,KGqYN6RBbaHrz3pP
RedMage,Andrew Ifrit,699.822,376361,581,Yes,KGqYN6RBbaHrz3pP
Machinist,Rykon Strife,699.086,375965,581,Yes,KGqYN6RBbaHrz3pP
Samurai,Asuna Pochita,655.346,352442,581,Yes,KGqYN6RBbaHrz3pP
Astrologian,Aiso J'fule,643.639,346146,581,Yes,KGqYN6RBbaHrz3pP
RedMage,Arima Saeki,605.279,325516,581,Yes,KGqYN6RBbaHrz3pP
BlackMage,Rainmir Zaliel,531.552,285866,581,Yes,KGqYN6RBbaHrz3pP
Astrologian,Foxpaw Marble,529.477,284750,581,Yes,KGqYN6RBbaHrz3pP
WhiteMage,Chinchilla Chan,507.085,272708,581,Yes,KGqYN6RBbaHrz3pP
Astrologian,Woo Wee,492.621,264929,581,Yes,KGqYN6RBbaHrz3pP
Scholar,Shadow Qwert,473.584,254691,581,Yes,KGqYN6RBbaHrz3pP
LimitBreak,Limit Break,442.762,238115,581,Yes,KGqYN6RBbaHrz3pP
Bard,Kristiani Asatami,432.542,232619,581,Yes,KGqYN6RBbaHrz3pP
Gunbreaker,Hanakoizumi An,376.571,202518,581,Yes,KGqYN6RBbaHrz3pP
RedMage,Ryuko Minashigo,367.915,197863,581,Yes,KGqYN6RBbaHrz3pP
RedMage,Claw Fist,346.576,186387,581,Yes,KGqYN6RBbaHrz3pP
Astrologian,Annelise Sera,341.362,183583,581,Yes,KGqYN6RBbaHrz3pP
Summoner,Tatiana Banana,336.093,180749,581,Yes,KGqYN6RBbaHrz3pP
WhiteMage,Stinky Lizard,305.735,164423,581,Yes,KGqYN6RBbaHrz3pP
WhiteMage,Kepopo Keepo,193.261,103935,581,Yes,KGqYN6RBbaHrz3pP
Astrologian,Cyrex Laq'ren,182.051,97906,581,Yes,KGqYN6RBbaHrz3pP
RedMage,Rakan Fenice,180.448,97044,581,Yes,KGqYN6RBbaHrz3pP
RedMage,Link Blaze,161.43,86816,581,Yes,KGqYN6RBbaHrz3pP
RedMage,Stoutch Rivers,159.183,85608,581,Yes,KGqYN6RBbaHrz3pP
WhiteMage,Bear Lol,141.454,76073,581,Yes,KGqYN6RBbaHrz3pP
Scholar,Coffeebean Creampuff,136.394,73352,581,Yes,KGqYN6RBbaHrz3pP
Astrologian,Jennalla Myoko,131.232,70576,581,Yes,KGqYN6RBbaHrz3pP
Summoner,Cherri Creampuff,57.0552,30684,581,Yes,KGqYN6RBbaHrz3pP
Scholar,Izayoi Ishikawa,53.526,28786,581,Yes,KGqYN6RBbaHrz3pP
Machinist,Sir Oldman,22.8563,12292,581,Yes,KGqYN6RBbaHrz3pP
WhiteMage,Arcadia Rey,21.4115,11515,581,Yes,KGqYN6RBbaHrz3pP
Summoner,Cherri Creampuff,9.33255,5019,581,Yes,KGqYN6RBbaHrz3pP
