Laboratory Lion,150369141,150374305
Ovni,150531254,150679423
Unknown,150771002,150771002
Haokah Followed,150816254,150849249
Arsenal Demon Wall,151084612,151364978
Art,151507189,151618887
Arsenal Calcabrina,151659493,151736324
Hidden Trap,151777575,151778867
Raiden,151906916,151970049
Raiden,151990854,152060157
Arsenal Calcabrina,152075398,152134821
Arsenal Viking,152168204,152307281
Arsenal Calcabrina,152363969,152497124
Hidden Trap,152508669,152509295
Hidden Trap,152533981,152544132
Arsenal Viking,152599597,152682570
Arsenal Tome,152740316,152817546
Arsenal Magus,152851008,152911191
Hidden Trap,152951612,152952503
Arsenal Magus,152983100,153009085
Arsenal Magus,153030781,153037108
Hidden Trap,153351652,153352274
Hidden Trap,153493253,153493879
Absolute Virtue,153538667,153819956
Arsenal Magus,153998863,154048409
Arsenal Magus,154072208,154097436
Arsenal Magus,154162618,154193866
Arsenal Magus,154250475,154260634
Proto Ozma,154507136,154960144
